number,A1,A2,A3,A4,A5,A6,A7
154,city_subway,concession,individual,trip_1,trip_1,trip_2,Cancel
155,city_subway,concession,individual,trip_1,trip_1,trip_other,Cancel
156,city_subway,concession,individual,trip_1,trip_2,Buy,Cancel
157,city_subway,concession,individual,trip_1,trip_2,trip_1,Cancel
158,city_subway,concession,individual,trip_1,trip_2,trip_2,Cancel
159,city_subway,concession,individual,trip_1,trip_2,trip_other,Cancel
160,city_subway,concession,individual,trip_1,trip_other,Buy,Cancel
161,city_subway,concession,individual,trip_1,trip_other,trip_1,Cancel
162,city_subway,concession,individual,trip_1,trip_other,trip_2,Cancel
163,city_subway,concession,individual,trip_1,trip_other,trip_other,Cancel
164,city_subway,concession,individual,trip_2,Buy,ok,Cancel
165,city_subway,concession,individual,trip_2,trip_1,Buy,Cancel
166,city_subway,concession,individual,trip_2,trip_1,trip_1,Cancel
167,city_subway,concession,individual,trip_2,trip_1,trip_2,Cancel
168,city_subway,concession,individual,trip_2,trip_1,trip_other,Cancel
169,city_subway,concession,individual,trip_2,trip_2,Buy,Cancel
170,city_subway,concession,individual,trip_2,trip_2,trip_1,Cancel
171,city_subway,concession,individual,trip_2,trip_2,trip_2,Cancel
172,city_subway,concession,individual,trip_2,trip_2,trip_other,Cancel
173,city_subway,concession,individual,trip_2,trip_other,Buy,Cancel
174,city_subway,concession,individual,trip_2,trip_other,trip_1,Cancel
175,city_subway,concession,individual,trip_2,trip_other,trip_2,Cancel
176,city_subway,concession,individual,trip_2,trip_other,trip_other,Cancel
177,city_subway,concession,individual,trip_other,Buy,ok,Cancel
178,city_subway,concession,individual,trip_other,trip_1,Buy,Cancel
179,city_subway,concession,individual,trip_other,trip_1,trip_1,Cancel
180,city_subway,concession,individual,trip_other,trip_1,trip_2,Cancel
181,city_subway,concession,individual,trip_other,trip_1,trip_other,Cancel
182,city_subway,concession,individual,trip_other,trip_2,Buy,Cancel
183,city_subway,concession,individual,trip_other,trip_2,trip_1,Cancel
184,city_subway,concession,individual,trip_other,trip_2,trip_2,Cancel
185,city_subway,concession,individual,trip_other,trip_2,trip_other,Cancel
186,city_subway,concession,individual,trip_other,trip_other,Buy,Cancel
187,city_subway,concession,individual,trip_other,trip_other,trip_1,Cancel
188,city_subway,concession,individual,trip_other,trip_other,trip_2,Cancel
189,city_subway,concession,individual,trip_other,trip_other,trip_other,Cancel
190,city_subway,full_fare,daily,Buy,ok,Buy,Cancel
191,city_subway,full_fare,daily,Buy,ok,trip_1,Cancel
192,city_subway,full_fare,daily,Buy,ok,trip_2,Cancel
193,city_subway,full_fare,daily,Buy,ok,trip_other,Cancel
194,city_subway,full_fare,individual,Buy,ok,Buy,Cancel
195,city_subway,full_fare,individual,Buy,ok,trip_1,Cancel
196,city_subway,full_fare,individual,Buy,ok,trip_2,Cancel
197,city_subway,full_fare,individual,Buy,ok,trip_other,Cancel
198,city_subway,full_fare,individual,trip_1,Buy,ok,Cancel
199,city_subway,full_fare,individual,trip_1,trip_1,Buy,Cancel
200,city_subway,full_fare,individual,trip_1,trip_1,trip_1,Cancel
201,city_subway,full_fare,individual,trip_1,trip_1,trip_2,Cancel
202,city_subway,full_fare,individual,trip_1,trip_1,trip_other,Cancel
203,city_subway,full_fare,individual,trip_1,trip_2,Buy,Cancel
204,city_subway,full_fare,individual,trip_1,trip_2,trip_1,Cancel
205,city_subway,full_fare,individual,trip_1,trip_2,trip_2,Cancel
206,city_subway,full_fare,individual,trip_1,trip_2,trip_other,Cancel
207,city_subway,full_fare,individual,trip_1,trip_other,Buy,Cancel
208,city_subway,full_fare,individual,trip_1,trip_other,trip_1,Cancel
209,city_subway,full_fare,individual,trip_1,trip_other,trip_2,Cancel
210,city_subway,full_fare,individual,trip_1,trip_other,trip_other,Cancel
211,city_subway,full_fare,individual,trip_2,Buy,ok,Cancel
212,city_subway,full_fare,individual,trip_2,trip_1,Buy,Cancel
213,city_subway,full_fare,individual,trip_2,trip_1,trip_1,Cancel
214,city_subway,full_fare,individual,trip_2,trip_1,trip_2,Cancel
215,city_subway,full_fare,individual,trip_2,trip_1,trip_other,Cancel
216,city_subway,full_fare,individual,trip_2,trip_2,Buy,Cancel
217,city_subway,full_fare,individual,trip_2,trip_2,trip_1,Cancel
218,city_subway,full_fare,individual,trip_2,trip_2,trip_2,Cancel
219,city_subway,full_fare,individual,trip_2,trip_2,trip_other,Cancel
220,city_subway,full_fare,individual,trip_2,trip_other,Buy,Cancel
221,city_subway,full_fare,individual,trip_2,trip_other,trip_1,Cancel
222,city_subway,full_fare,individual,trip_2,trip_other,trip_2,Cancel
223,city_subway,full_fare,individual,trip_2,trip_other,trip_other,Cancel
224,city_subway,full_fare,individual,trip_other,Buy,ok,Cancel
225,city_subway,full_fare,individual,trip_other,trip_1,Buy,Cancel
226,city_subway,full_fare,individual,trip_other,trip_1,trip_1,Cancel
227,city_subway,full_fare,individual,trip_other,trip_1,trip_2,Cancel
228,city_subway,full_fare,individual,trip_other,trip_1,trip_other,Cancel
229,city_subway,full_fare,individual,trip_other,trip_2,Buy,Cancel
230,city_subway,full_fare,individual,trip_other,trip_2,trip_1,Cancel
231,city_subway,full_fare,individual,trip_other,trip_2,trip_2,Cancel
232,city_subway,full_fare,individual,trip_other,trip_2,trip_other,Cancel
233,city_subway,full_fare,individual,trip_other,trip_other,Buy,Cancel
234,city_subway,full_fare,individual,trip_other,trip_other,trip_1,Cancel
235,city_subway,full_fare,individual,trip_other,trip_other,trip_2,Cancel
236,city_subway,full_fare,individual,trip_other,trip_other,trip_other,Cancel
237,concession,daily,Buy,ok,Buy,ok,Cancel
238,concession,daily,Buy,ok,trip_1,Buy,Cancel
239,concession,daily,Buy,ok,trip_1,trip_1,Cancel
240,concession,daily,Buy,ok,trip_1,trip_2,Cancel
241,concession,daily,Buy,ok,trip_1,trip_other,Cancel
242,concession,daily,Buy,ok,trip_2,Buy,Cancel
243,concession,daily,Buy,ok,trip_2,trip_1,Cancel
244,concession,daily,Buy,ok,trip_2,trip_2,Cancel
245,concession,daily,Buy,ok,trip_2,trip_other,Cancel
246,concession,daily,Buy,ok,trip_other,Buy,Cancel
247,concession,daily,Buy,ok,trip_other,trip_1,Cancel
248,concession,daily,Buy,ok,trip_other,trip_2,Cancel
249,concession,daily,Buy,ok,trip_other,trip_other,Cancel
250,concession,individual,Buy,ok,Buy,ok,Cancel
251,concession,individual,Buy,ok,trip_1,Buy,Cancel
252,concession,individual,Buy,ok,trip_1,trip_1,Cancel
253,concession,individual,Buy,ok,trip_1,trip_2,Cancel
254,concession,individual,Buy,ok,trip_1,trip_other,Cancel
255,concession,individual,Buy,ok,trip_2,Buy,Cancel
256,concession,individual,Buy,ok,trip_2,trip_1,Cancel
257,concession,individual,Buy,ok,trip_2,trip_2,Cancel
258,concession,individual,Buy,ok,trip_2,trip_other,Cancel
259,concession,individual,Buy,ok,trip_other,Buy,Cancel
260,concession,individual,Buy,ok,trip_other,trip_1,Cancel
261,concession,individual,Buy,ok,trip_other,trip_2,Cancel
262,concession,individual,Buy,ok,trip_other,trip_other,Cancel
263,concession,individual,trip_1,Buy,ok,Buy,Cancel
264,concession,individual,trip_1,Buy,ok,trip_1,Cancel
265,concession,individual,trip_1,Buy,ok,trip_2,Cancel
266,concession,individual,trip_1,Buy,ok,trip_other,Cancel
267,concession,individual,trip_1,trip_1,Buy,ok,Cancel
268,concession,individual,trip_1,trip_1,trip_1,Buy,Cancel
269,concession,individual,trip_1,trip_1,trip_1,trip_1,Cancel
270,concession,individual,trip_1,trip_1,trip_1,trip_2,Cancel
271,concession,individual,trip_1,trip_1,trip_1,trip_other,Cancel
272,concession,individual,trip_1,trip_1,trip_2,Buy,Cancel
273,concession,individual,trip_1,trip_1,trip_2,trip_1,Cancel
274,concession,individual,trip_1,trip_1,trip_2,trip_2,Cancel
275,concession,individual,trip_1,trip_1,trip_2,trip_other,Cancel
276,concession,individual,trip_1,trip_1,trip_other,Buy,Cancel
277,concession,individual,trip_1,trip_1,trip_other,trip_1,Cancel
278,concession,individual,trip_1,trip_1,trip_other,trip_2,Cancel
279,concession,individual,trip_1,trip_1,trip_other,trip_other,Cancel
280,concession,individual,trip_1,trip_2,Buy,ok,Cancel
281,concession,individual,trip_1,trip_2,trip_1,Buy,Cancel
282,concession,individual,trip_1,trip_2,trip_1,trip_1,Cancel
283,concession,individual,trip_1,trip_2,trip_1,trip_2,Cancel
284,concession,individual,trip_1,trip_2,trip_1,trip_other,Cancel
285,concession,individual,trip_1,trip_2,trip_2,Buy,Cancel
286,concession,individual,trip_1,trip_2,trip_2,trip_1,Cancel
287,concession,individual,trip_1,trip_2,trip_2,trip_2,Cancel
288,concession,individual,trip_1,trip_2,trip_2,trip_other,Cancel
289,concession,individual,trip_1,trip_2,trip_other,Buy,Cancel
290,concession,individual,trip_1,trip_2,trip_other,trip_1,Cancel
291,concession,individual,trip_1,trip_2,trip_other,trip_2,Cancel
292,concession,individual,trip_1,trip_2,trip_other,trip_other,Cancel
293,concession,individual,trip_1,trip_other,Buy,ok,Cancel
294,concession,individual,trip_1,trip_other,trip_1,Buy,Cancel
295,concession,individual,trip_1,trip_other,trip_1,trip_1,Cancel
296,concession,individual,trip_1,trip_other,trip_1,trip_2,Cancel
297,concession,individual,trip_1,trip_other,trip_1,trip_other,Cancel
298,concession,individual,trip_1,trip_other,trip_2,Buy,Cancel
299,concession,individual,trip_1,trip_other,trip_2,trip_1,Cancel
300,concession,individual,trip_1,trip_other,trip_2,trip_2,Cancel
301,concession,individual,trip_1,trip_other,trip_2,trip_other,Cancel
302,concession,individual,trip_1,trip_other,trip_other,Buy,Cancel
303,concession,individual,trip_1,trip_other,trip_other,trip_1,Cancel
304,concession,individual,trip_1,trip_other,trip_other,trip_2,Cancel
305,concession,individual,trip_1,trip_other,trip_other,trip_other,Cancel
306,concession,individual,trip_2,Buy,ok,Buy,Cancel
307,concession,individual,trip_2,Buy,ok,trip_1,Cancel
308,concession,individual,trip_2,Buy,ok,trip_2,Cancel
309,concession,individual,trip_2,Buy,ok,trip_other,Cancel
310,concession,individual,trip_2,trip_1,Buy,ok,Cancel
311,concession,individual,trip_2,trip_1,trip_1,Buy,Cancel
312,concession,individual,trip_2,trip_1,trip_1,trip_1,Cancel
313,concession,individual,trip_2,trip_1,trip_1,trip_2,Cancel
314,concession,individual,trip_2,trip_1,trip_1,trip_other,Cancel
315,concession,individual,trip_2,trip_1,trip_2,Buy,Cancel
316,concession,individual,trip_2,trip_1,trip_2,trip_1,Cancel
317,concession,individual,trip_2,trip_1,trip_2,trip_2,Cancel
318,concession,individual,trip_2,trip_1,trip_2,trip_other,Cancel
319,concession,individual,trip_2,trip_1,trip_other,Buy,Cancel
320,concession,individual,trip_2,trip_1,trip_other,trip_1,Cancel
321,concession,individual,trip_2,trip_1,trip_other,trip_2,Cancel
322,concession,individual,trip_2,trip_1,trip_other,trip_other,Cancel
323,concession,individual,trip_2,trip_2,Buy,ok,Cancel
324,concession,individual,trip_2,trip_2,trip_1,Buy,Cancel
325,concession,individual,trip_2,trip_2,trip_1,trip_1,Cancel
326,concession,individual,trip_2,trip_2,trip_1,trip_2,Cancel
327,concession,individual,trip_2,trip_2,trip_1,trip_other,Cancel
328,concession,individual,trip_2,trip_2,trip_2,Buy,Cancel
329,concession,individual,trip_2,trip_2,trip_2,trip_1,Cancel
330,concession,individual,trip_2,trip_2,trip_2,trip_2,Cancel
331,concession,individual,trip_2,trip_2,trip_2,trip_other,Cancel
332,concession,individual,trip_2,trip_2,trip_other,Buy,Cancel
333,concession,individual,trip_2,trip_2,trip_other,trip_1,Cancel
334,concession,individual,trip_2,trip_2,trip_other,trip_2,Cancel
335,concession,individual,trip_2,trip_2,trip_other,trip_other,Cancel
336,concession,individual,trip_2,trip_other,Buy,ok,Cancel
337,concession,individual,trip_2,trip_other,trip_1,Buy,Cancel
338,concession,individual,trip_2,trip_other,trip_1,trip_1,Cancel
339,concession,individual,trip_2,trip_other,trip_1,trip_2,Cancel
340,concession,individual,trip_2,trip_other,trip_1,trip_other,Cancel
341,concession,individual,trip_2,trip_other,trip_2,Buy,Cancel
342,concession,individual,trip_2,trip_other,trip_2,trip_1,Cancel
343,concession,individual,trip_2,trip_other,trip_2,trip_2,Cancel
344,concession,individual,trip_2,trip_other,trip_2,trip_other,Cancel
345,concession,individual,trip_2,trip_other,trip_other,Buy,Cancel
346,concession,individual,trip_2,trip_other,trip_other,trip_1,Cancel
347,concession,individual,trip_2,trip_other,trip_other,trip_2,Cancel
348,concession,individual,trip_2,trip_other,trip_other,trip_other,Cancel
349,concession,individual,trip_other,Buy,ok,Buy,Cancel
350,concession,individual,trip_other,Buy,ok,trip_1,Cancel
351,concession,individual,trip_other,Buy,ok,trip_2,Cancel
352,concession,individual,trip_other,Buy,ok,trip_other,Cancel
353,concession,individual,trip_other,trip_1,Buy,ok,Cancel
354,concession,individual,trip_other,trip_1,trip_1,Buy,Cancel
355,concession,individual,trip_other,trip_1,trip_1,trip_1,Cancel
356,concession,individual,trip_other,trip_1,trip_1,trip_2,Cancel
357,concession,individual,trip_other,trip_1,trip_1,trip_other,Cancel
358,concession,individual,trip_other,trip_1,trip_2,Buy,Cancel
359,concession,individual,trip_other,trip_1,trip_2,trip_1,Cancel
360,concession,individual,trip_other,trip_1,trip_2,trip_2,Cancel
361,concession,individual,trip_other,trip_1,trip_2,trip_other,Cancel
362,concession,individual,trip_other,trip_1,trip_other,Buy,Cancel
363,concession,individual,trip_other,trip_1,trip_other,trip_1,Cancel
364,concession,individual,trip_other,trip_1,trip_other,trip_2,Cancel
365,concession,individual,trip_other,trip_1,trip_other,trip_other,Cancel
366,concession,individual,trip_other,trip_2,Buy,ok,Cancel
367,concession,individual,trip_other,trip_2,trip_1,Buy,Cancel
368,concession,individual,trip_other,trip_2,trip_1,trip_1,Cancel
369,concession,individual,trip_other,trip_2,trip_1,trip_2,Cancel
370,concession,individual,trip_other,trip_2,trip_1,trip_other,Cancel
371,concession,individual,trip_other,trip_2,trip_2,Buy,Cancel
372,concession,individual,trip_other,trip_2,trip_2,trip_1,Cancel
373,concession,individual,trip_other,trip_2,trip_2,trip_2,Cancel
374,concession,individual,trip_other,trip_2,trip_2,trip_other,Cancel
375,concession,individual,trip_other,trip_2,trip_other,Buy,Cancel
376,concession,individual,trip_other,trip_2,trip_other,trip_1,Cancel
377,concession,individual,trip_other,trip_2,trip_other,trip_2,Cancel
378,concession,individual,trip_other,trip_2,trip_other,trip_other,Cancel
379,concession,individual,trip_other,trip_other,Buy,ok,Cancel
380,concession,individual,trip_other,trip_other,trip_1,Buy,Cancel
381,concession,individual,trip_other,trip_other,trip_1,trip_1,Cancel
382,concession,individual,trip_other,trip_other,trip_1,trip_2,Cancel
383,concession,individual,trip_other,trip_other,trip_1,trip_other,Cancel
384,concession,individual,trip_other,trip_other,trip_2,Buy,Cancel
385,concession,individual,trip_other,trip_other,trip_2,trip_1,Cancel
386,concession,individual,trip_other,trip_other,trip_2,trip_2,Cancel
387,concession,individual,trip_other,trip_other,trip_2,trip_other,Cancel
